OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
77,(47.60206521100008: -122.33497560099994),542921,12237,12253,PSL-B532,POST AVE 0060 BLOCK SW SIDE (  95) 95 FT NW/O YESLER WAY (OP-06-7T/11)                                                                                                                                                                                         ,B532,2532002,Pioneer Square,Edge,SW
78,(47.61515132300008: -122.34734787499997),529575,70754,2765,PSL-J206,2ND AVE 0240 BLOCK NE SIDE ( 144) 144 FT NW/O BATTERY ST (02-24-10)                                                                                                                                                                                            ,J206,10206004,Belltown,North,NE
79,(47.61270273500003: -122.32524943199996),531875,12957,12984,PSL-H504,SUMMIT AVE 0130 BLOCK SW SIDE ( 127) 127 FT NW/O UNIVERSITY ST (ST-13-09)                                                                                                                                                                                      ,H504,8504002,First Hill,,SW
80,(47.61569390500006: -122.34425047299999),529507,28954,6140,PSL-J052,4TH AVE 0230 BLOCK NE SIDE ( 116) 116 FT NW/O BELL ST (04-23-08)                                                                                                                                                                                               ,J052,10052004,Belltown,North,NE
81,(47.62917281000006: -122.33055562299995),529529,94612,163883,PSL-U231,FAIRVIEW NR AVE N 0110 BLOCK SE SIDE ( 121) 121 FT NE/O YALE AVE N (NFV-11-20)                                                                                                                                                                                 ,U231,19231002,South Lake Union,North,SE
82,(47.613751713000056: -122.34388835099998),529648,77217,9292,PSL-J093,BLANCHARD ST 0020 BLOCK NW SIDE ( 188) 188 FT NE/O 2ND AVE (22-02-14)                                                                                                                                                                                          ,J093,10093002,Belltown,South,NW
83,(47.61148773900004: -122.34643251399996),540936,55474,10200,PSL-B530,ELLIOTT AVE 0210 BLOCK S SIDE ( 394) 394 FT W/O LENORA ST (OE-21-35)                                                                                                                                                                                           ,B530,2530002,Belltown,South,S
84,(47.61305703900007: -122.34905787299999),540917,9146,9071,PSL-B516,BATTERY ST 0005 BLOCK SE SIDE ( 122) 122 FT NE/O ELLIOTT AVE (24-00-09)                                                                                                                                                                                        ,B516,2516004,Belltown,North,SE
85,(47.66260704300004: -122.31629247199999),530053,69306,1409,PSL-L110,11TH AVE NE 0450 BLOCK E SIDE ( 465) 465 FT N/O NE 45TH ST (NE11-45-40)                                                                                                                                                                                        ,L110,12110104,University District,Edge,E
86,(47.61087871700005: -122.32487492899998),529434,34482,11873,PSL-H044,MINOR AVE 0110 BLOCK NE SIDE ( 124) 124 FT NW/O SPRING ST (MR-11-10)                                                                                                                                                                                           ,H044,8044002,First Hill,,NE
87,(47.61253242600003: -122.33794710099994),528278,57377,12042,PSL-E039,OLIVE WAY 0040 BLOCK NW SIDE ( 170) 170 FT NE/O 4TH AVE (17-04-14)                                                                                                                                                                                             ,E039,5039002,Commercial Core,Retail,NW
88,(47.66059859400008: -122.31649558199996),529710,130708,1408,PSL-L170,11TH AVE NE 0430 BLOCK E SIDE ( 260) 260 FT N/O NE 43RD ST (NE11-43-11)                                                                                                                                                                                        ,L170,12170104,University District,Edge,E
89,(47.61378474800006: -122.35096286799995),540724,78118,10205,PSL-B503,ELLIOTT AVE 0250 BLOCK NE SIDE ( 172) 172 FT NW/O WALL ST (OE-25-16)                                                                                                                                                                                           ,B503,2503004,Belltown,North,NE
90,(47.60744441200006: -122.32717729799998),531883,56982,11669,PSL-H523,MARION ST 0080 BLOCK SE SIDE ( 163) 163 FT NE/O 8TH AVE (9-08-13)                                                                                                                                                                                              ,H523,8523002,First Hill,,SE
91,(47.659049699000036: -122.31423478099998),529791,77390,9480,PSL-L011,BROOKLYN AVE NE 0420 BLOCK E SIDE ( 244) 244 FT N/O NE 42ND ST (NEBN-42-22)                                                                                                                                                                                    ,L011,12011002,University District,Core,E
92,(47.61492590300003: -122.34207325899996),529657,77222,9294,PSL-J101,BLANCHARD ST 0040 BLOCK SE SIDE ( 155) 155 FT NE/O 4TH AVE (22-04-13)                                                                                                                                                                                          ,J101,10101002,Belltown,South,SE
93,(47.61249792800004: -122.32354696999994),539987,54609,9372,PSL-H560,BOYLSTON AVE 0120 BLOCK SW SIDE ( 140) 140 FT NW/O SENECA ST (BN-12-13)                                                                                                                                                                                        ,H560,8560002,First Hill,,SW
94,(47.60651246000003: -122.30903714599998),528323,70501,2535,PSL-N001,18TH AVE 0050 BLOCK W SIDE ( 104) 104 FT N/O E JEFFERSON ST (E18-05-07)                                                                                                                                                                                        ,N001,14001002,Cherry Hill,,W
95,(47.61616101700008: -122.33754087299997),528300,76193,8284,PSL-J365,8TH AVE 0200 BLOCK SW SIDE ( 264) 264 FT NW/O VIRGINIA ST (08-20-21/23)                                                                                                                                                                                        ,J365,10365002,Denny Triangle,South,SW
96,(47.62944157600003: -122.33021231899994),529530,94612,163883,PSL-U232,FAIRVIEW NR AVE N 0110 BLOCK SE SIDE ( 251) 251 FT NE/O YALE AVE N (NFV-11-46)                                                                                                                                                                                 ,U232,19232002,South Lake Union,North,SE
97,(47.616340999000045: -122.34052307899998),529664,77229,9296,PSL-W147,BLANCHARD ST 0060 BLOCK NW SIDE ( 149) 149 FT NE/O 6TH AVE (22-06-12)                                                                                                                                                                                          ,W147,21147004,Denny Triangle,North,NW
98,(47.607167814000036: -122.31665855799997),529387,46730,1530,PSL-I005,12TH AVE 0055 BLOCK E SIDE ( 106) 106 FT N/O E BARCLAY CT (E12-05-24)                                                                                                                                                                                          ,I005,9005002,12th Avenue,,E
99,(47.60424547100007: -122.3219264),535044,35718,13101,PSL-H549,TERRY AVE 0030 BLOCK NE SIDE ( 133) 133 FT NW/O ALDER ST (TY-03-10)                                                                                                                                                                                            ,H549,8549002,First Hill,,NE
100,(47.60267535700007: -122.33453172699996),531865,1001,1001,PSL-A124,1ST AVE 0070 BLOCK SW SIDE (  50) 50 FT NW/O CHERRY ST (01-07-05)                                                                                                                                                                                              ,A124,1124002,Pioneer Square,Core,SW
101,(47.60984202800006: -122.32143686399996),529476,34310,11673,PSL-H111,MARION ST 0120 BLOCK SE SIDE ( 537) 537 FT NE/O MINOR AVE (9-12-47)                                                                                                                                                                                            ,H111,8111002,First Hill,,SE
102,(47.654156141000044: -122.31342164999995),529903,35837,13215,PSL-L032,UNIVERSITY WAY NE 0380 BLOCK W SIDE ( 216) 216 FT N/O NE PACIFIC ST (NEUW-39-17)                                                                                                                                                                               ,L032,12032002,University District,Core,W
103,(47.61349810400003: -122.34162942899997),529730,79358,11369,PSL-J082,LENORA ST 0030 BLOCK SE SIDE ( 154) 154 FT NE/O 3RD AVE (21-03-13)                                                                                                                                                                                             ,J082,10082002,Belltown,South,SE
104,(47.60644930800004: -122.32570125799998),533922,8609,8513,PSL-H530,9TH AVE 0070 BLOCK SW SIDE (  82) 82 FT NW/O CHERRY ST (09-07-07)                                                                                                                                                                                              ,H530,8530002,First Hill,,SW
